count,date
5905,2012-05-27
4096,2012-05-28
13883,2012-05-29
11093,2012-05-30
11287,2012-05-31
11397,2012-06-01
6424,2012-06-02
798,2012-06-03
17342,2012-06-04
18108,2012-06-05
20226,2012-06-06
25248,2012-06-07
13364,2012-06-08
8690,2012-06-09
5449,2012-06-10
17870,2012-06-11
15620,2012-06-12
21124,2012-06-13
10586,2012-06-14
15923,2012-06-15
3423,2012-06-16
9166,2012-06-17
10891,2012-06-18
15477,2012-06-19
14972,2012-06-20
18528,2012-06-21
11380,2012-06-22
9294,2012-06-23
5058,2012-06-24
12793,2012-06-25
13556,2012-06-26
13014,2012-06-27
14483,2012-06-28
11140,2012-06-29
7820,2012-06-30
15633,2012-07-01
18184,2012-07-02
19020,2012-07-03
20784,2012-07-04
17691,2012-07-05
17644,2012-07-06
14252,2012-07-07
12637,2012-07-08
12303,2012-07-09
14416,2012-07-10
17267,2012-07-11
17917,2012-07-12
15960,2012-07-13
12487,2012-07-14
10948,2012-07-15
17272,2012-07-16
16095,2012-07-17
16938,2012-07-18
17742,2012-07-19
19931,2012-07-20
12620,2012-07-21
5461,2012-07-22
10890,2012-07-23
13878,2012-07-24
18245,2012-07-25
22360,2012-07-26
19573,2012-07-27
8518,2012-07-28
5301,2012-07-29
24373,2012-07-30
22545,2012-07-31
19045,2012-08-01
19754,2012-08-02
19601,2012-08-03
7100,2012-08-04
14535,2012-08-05
11938,2012-08-06
11054,2012-08-07
25106,2012-08-08
20665,2012-08-09
30555,2012-08-10
10436,2012-08-11
14809,2012-08-12
21448,2012-08-13
20517,2012-08-14
17682,2012-08-15
15598,2012-08-16
16929,2012-08-17
10368,2012-08-18
10018,2012-08-19
16497,2012-08-20
19362,2012-08-21
16984,2012-08-22
13263,2012-08-23
21244,2012-08-24
12375,2012-08-25
10937,2012-08-26
14355,2012-08-27
17031,2012-08-28
19675,2012-08-29
22525,2012-08-30
25443,2012-08-31
7807,2012-09-01
12138,2012-09-02
8307,2012-09-03
15396,2012-09-04
15810,2012-09-05
16801,2012-09-06
13083,2012-09-07
10112,2012-09-08
17565,2012-09-09
17683,2012-09-10
17876,2012-09-11
16631,2012-09-12
20540,2012-09-13
22047,2012-09-14
16872,2012-09-15
6767,2012-09-16
20504,2012-09-17
20095,2012-09-18
18101,2012-09-19
19909,2012-09-20
20371,2012-09-21
9648,2012-09-22
10905,2012-09-23
17397,2012-09-24
14827,2012-09-25
17411,2012-09-26
19568,2012-09-27
22591,2012-09-28
7889,2012-09-29
13335,2012-09-30
9397,2012-10-01
15072,2012-10-02
13087,2012-10-03
10120,2012-10-04
12774,2012-10-05
6501,2012-10-06
9535,2012-10-07
16231,2012-10-08
14651,2012-10-09
13037,2012-10-10
14625,2012-10-11
10030,2012-10-12
10613,2012-10-13
7604,2012-10-14
13070,2012-10-15
14527,2012-10-16
14904,2012-10-17
21012,2012-10-18
10322,2012-10-19
7257,2012-10-20
17972,2012-10-21
15725,2012-10-22
10342,2012-10-23
12264,2012-10-24
13033,2012-10-25
11986,2012-10-26
7746,2012-10-27
7670,2012-10-28
11142,2012-10-29
13379,2012-10-30
11776,2012-10-31
11951,2012-11-01
5603,2012-11-02
6443,2012-11-03
10162,2012-11-04
11950,2012-11-05
22535,2012-11-06
9033,2012-11-07
8769,2012-11-08
12252,2012-11-09
3843,2012-11-10
2759,2012-11-11
12482,2012-11-12
13314,2012-11-13
7044,2012-11-14
8148,2012-11-15
10679,2012-11-16
8135,2012-11-17
8976,2012-11-18
13764,2012-11-19
18228,2012-11-20
15011,2012-11-21
15987,2012-11-22
15645,2012-11-23
3372,2012-11-24
9135,2012-11-25
17340,2012-11-26
16072,2012-11-27
19444,2012-11-28
18285,2012-11-29
15305,2012-11-30
2611,2012-12-01
12549,2012-12-02
13210,2012-12-03
17063,2012-12-04
12426,2012-12-05
13570,2012-12-06
7605,2012-12-07
1951,2012-12-08
7615,2012-12-09
14890,2012-12-10
14965,2012-12-11
25052,2012-12-12
18031,2012-12-13
13322,2012-12-14
8703,2012-12-15
18832,2012-12-16
14749,2012-12-17
14204,2012-12-18
15966,2012-12-19
17276,2012-12-20
10846,2012-12-21
11341,2012-12-22
8417,2012-12-23
19325,2012-12-24
8782,2012-12-25
8975,2012-12-26
12582,2012-12-27
5828,2012-12-28
4669,2012-12-29
6199,2012-12-30
10911,2012-12-31
4321,2013-01-01
4779,2013-01-02
17108,2013-01-03
20138,2013-01-04
10995,2013-01-05
13642,2013-01-06
12389,2013-01-07
15777,2013-01-08
11932,2013-01-09
12650,2013-01-10
16374,2013-01-11
8316,2013-01-12
6066,2013-01-13
16489,2013-01-14
15686,2013-01-15
15634,2013-01-16
13584,2013-01-17
17137,2013-01-18
7806,2013-01-19
10127,2013-01-20
17754,2013-01-21
14137,2013-01-22
15642,2013-01-23
15398,2013-01-24
12197,2013-01-25
6553,2013-01-26
7911,2013-01-27
11648,2013-01-28
7932,2013-01-29
8744,2013-01-30
15834,2013-01-31
11185,2013-02-01
7469,2013-02-02
9719,2013-02-03
8831,2013-02-04
10475,2013-02-05
6057,2013-02-06
10602,2013-02-07
10503,2013-02-08
2419,2013-02-09
7901,2013-02-10
7109,2013-02-11
5389,2013-02-12
5975,2013-02-13
4570,2013-02-14
7803,2013-02-15
11344,2013-02-16
9354,2013-02-17
7555,2013-02-18
10562,2013-02-19
10272,2013-02-20
10901,2013-02-21
8753,2013-02-22
7787,2013-02-23
8598,2013-02-24
13493,2013-02-25
15031,2013-02-26
12967,2013-02-27
16813,2013-02-28
13274,2013-03-01
4635,2013-03-02
8458,2013-03-03
9999,2013-03-04
24127,2013-03-05
14363,2013-03-06
13607,2013-03-07
10864,2013-03-08
11570,2013-03-09
4158,2013-03-10
13997,2013-03-11
14996,2013-03-12
12411,2013-03-13
13804,2013-03-14
16288,2013-03-15
5010,2013-03-16
13678,2013-03-17
14843,2013-03-18
15439,2013-03-19
17743,2013-03-20
14526,2013-03-21
13688,2013-03-22
5268,2013-03-23
13570,2013-03-24
12927,2013-03-25
18404,2013-03-26
12737,2013-03-27
10718,2013-03-28
10960,2013-03-29
4173,2013-03-30
8129,2013-03-31
18191,2013-04-01
18438,2013-04-02
16950,2013-04-03
9383,2013-04-04
8950,2013-04-05
7166,2013-04-06
8551,2013-04-07
23110,2013-04-08
15670,2013-04-09
14197,2013-04-10
20423,2013-04-11
12067,2013-04-12
8469,2013-04-13
8715,2013-04-14
27547,2013-04-15
19792,2013-04-16
20033,2013-04-17
14849,2013-04-18
12450,2013-04-19
4314,2013-04-20
8046,2013-04-21
17580,2013-04-22
13915,2013-04-23
13079,2013-04-24
16942,2013-04-25
12901,2013-04-26
11761,2013-04-27
7681,2013-04-28
8945,2013-04-29
9971,2013-04-30
7817,2013-05-01
16276,2013-05-02
16873,2013-05-03
17148,2013-05-04
3830,2013-05-05
