,pred,true
2015-07-01,0.0154957242293,0.0143981792283
2015-07-02,0.0156520847888,0.014406228757
2015-07-03,0.0154689005918,0.0143879345875
2015-07-06,0.0155949468756,0.0147760236396
2015-07-07,0.0156413889186,0.0150949017753
2015-07-08,0.0155642215744,0.0151012360931
2015-07-09,0.0154680465202,0.0151274546183
2015-07-10,0.0156883153133,0.0152023859401
2015-07-13,0.0156654364966,0.0151174017061
2015-07-14,0.0156348243332,0.0149989012378
2015-07-15,0.0155567702779,0.0149949365232
2015-07-16,0.0157193255347,0.0148916597008
2015-07-17,0.0155334617219,0.014839907119
2015-07-20,0.0155375371238,0.0148464002433
2015-07-21,0.0154422657546,0.0148459560648
2015-07-22,0.0154809521126,0.0148301379751
2015-07-23,0.0154211992156,0.0148599855811
2015-07-24,0.0155439002349,0.0148557272867
